,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,new norfolk,75.0,AU,1567899292.0,81.0,-42.78,147.06,48.99,8.05
44,kavieng,100.0,PG,1567899292.0,77.0,-2.57,150.8,81.95,15.55
45,thompson,75.0,CA,1567899288.0,59.0,55.74,-97.86,60.8,8.05
46,shenzhen,0.0,CN,1567899292.0,89.0,22.54,114.05,89.01,2.24
48,bambous virieux,40.0,MU,1567899292.0,78.0,-20.34,57.76,73.4,13.87
50,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
51,coihaique,40.0,CL,1567899293.0,99.0,-45.58,-72.07,44.6,3.0
52,constanza,75.0,DO,1567899293.0,74.0,18.91,-70.74,82.4,26.4
53,barrow,1.0,US,1567899291.0,65.0,39.51,-90.4,77.0,4.43
54,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
55,camacha,75.0,PT,1567899293.0,73.0,33.08,-16.33,71.6,11.41
56,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
57,pevek,100.0,RU,1567899293.0,93.0,69.7,170.27,38.39,14.32
58,hithadhoo,83.0,MV,1567899293.0,78.0,-0.6,73.08,82.67,12.08
59,carnarvon,0.0,AU,1567899293.0,67.0,-24.87,113.63,57.2,8.05
60,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
61,vyshestebliyevskaya,0.0,RU,1567899294.0,67.0,45.2,37.0,59.0,11.18
62,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
63,gaspar,75.0,BR,1567899294.0,93.0,-26.93,-48.96,66.0,4.7
64,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
66,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
67,mar del plata,22.0,AR,1567899289.0,57.0,-46.43,-67.52,45.77,5.82
68,xuanwu,0.0,CN,1567899294.0,100.0,32.07,118.81,84.99,2.24
69,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
70,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
71,cabrero,68.0,CL,1567899295.0,81.0,-37.04,-72.4,53.6,9.17
72,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
73,carnarvon,0.0,AU,1567899293.0,67.0,-24.87,113.63,57.2,8.05
75,bethlehem,0.0,ZA,1567899295.0,61.0,-28.23,28.31,42.17,2.84
76,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
77,berdigestyakh,26.0,RU,1567899214.0,77.0,62.1,126.7,43.25,8.66
79,tura,41.0,RU,1567899296.0,80.0,64.27,100.22,48.83,3.83
80,bowen,90.0,AU,1567899296.0,29.0,-20.01,148.25,78.01,8.05
81,sorong,88.0,ID,1567899296.0,76.0,-0.86,131.25,79.07,9.31
82,arraial do cabo,41.0,BR,1567899296.0,81.0,-22.97,-42.02,68.63,25.66
83,ponta do sol,20.0,CV,1567899296.0,83.0,17.2,-25.09,80.6,14.99
84,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
85,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
86,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
87,cidreira,86.0,BR,1567899297.0,87.0,-30.17,-50.22,65.75,11.61
88,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
89,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
90,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
91,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
92,segou,80.0,ML,1567899298.0,89.0,13.43,-6.22,75.65,5.91
93,chama,0.0,ZM,1567899298.0,66.0,-11.22,33.16,59.45,3.69
94,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
96,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
97,semporna,75.0,MY,1567899298.0,94.0,4.48,118.61,77.0,3.36
98,paralimni,0.0,CY,1567899298.0,83.0,35.04,33.98,79.0,3.36
100,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
101,troitsko-pechorsk,74.0,RU,1567899298.0,98.0,62.71,56.19,50.63,4.88
102,tasiilaq,100.0,GL,1567899299.0,86.0,65.61,-37.64,39.2,8.05
103,merauke,21.0,ID,1567899299.0,78.0,-8.49,140.4,74.03,16.8
104,bredasdorp,0.0,ZA,1567899299.0,62.0,-34.53,20.04,73.99,3.36
106,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
107,port blair,100.0,IN,1567899180.0,82.0,11.67,92.75,82.13,17.67
108,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
109,lishui,0.0,CN,1567899299.0,85.0,28.45,119.91,73.85,0.67
110,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
111,port hueneme,20.0,US,1567899112.0,53.0,34.15,-119.2,89.01,14.99
112,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
113,kavieng,100.0,PG,1567899292.0,77.0,-2.57,150.8,81.95,15.55
115,zhicheng,0.0,CN,1567899300.0,40.0,35.04,112.59,80.15,1.01
116,russkiy aktash,0.0,RU,1567899300.0,81.0,55.04,52.12,48.2,4.25
117,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
118,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
119,maningrida,12.0,AU,1567899300.0,34.0,-12.05,134.23,81.95,7.81
120,udachnyy,75.0,RU,1567899301.0,86.0,66.42,112.4,41.0,4.47
122,plettenberg bay,0.0,ZA,1567899301.0,32.0,-34.05,23.37,74.57,7.31
123,chokurdakh,97.0,RU,1567899301.0,77.0,70.62,147.9,44.33,9.91
124,okha,83.0,RU,1567899301.0,77.0,53.59,142.95,58.91,6.4
125,eureka,90.0,US,1567899301.0,72.0,40.8,-124.16,68.0,8.05
126,caravelas,83.0,BR,1567899301.0,75.0,-17.73,-39.27,70.97,10.67
127,partyzany,0.0,UA,1567899302.0,60.0,45.14,35.15,69.35,8.86
129,severnoye,34.0,RU,1567899302.0,86.0,54.09,52.54,48.47,6.87
130,krymsk,0.0,RU,1567899302.0,67.0,44.93,37.99,59.0,11.18
131,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
132,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
133,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
135,kaitangata,95.0,NZ,1567899303.0,59.0,-46.28,169.85,44.01,14.0
136,katsuura,20.0,JP,1567899290.0,83.0,33.93,134.5,84.99,8.05
137,aksarka,61.0,RU,1567899303.0,92.0,66.56,67.8,50.63,7.94
138,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
139,new norfolk,75.0,AU,1567899292.0,81.0,-42.78,147.06,48.99,8.05
140,saint-philippe,90.0,RE,1567899289.0,68.0,-21.36,55.77,71.6,25.28
141,nikolskoye,92.0,RU,1567899286.0,87.0,59.7,30.79,48.99,3.22
142,bachaquero,2.0,VE,1567899303.0,64.0,9.96,-71.12,89.69,4.65
143,nador,75.0,MA,1567899303.0,83.0,35.17,-2.93,75.2,6.93
144,paita,0.0,PE,1567899304.0,290.0,-5.09,-81.11,62.6,16.11
145,tessalit,0.0,ML,1567899304.0,18.0,20.2,1.01,94.91,9.75
146,yellowknife,75.0,CA,1567899304.0,58.0,62.45,-114.38,55.4,3.31
147,laiyang,0.0,CN,1567899304.0,46.0,36.98,120.7,90.0,4.54
148,colon,75.0,MX,1567899304.0,41.0,20.8,-100.05,77.0,16.11
149,tigil,100.0,RU,1567899304.0,87.0,57.8,158.67,50.09,5.57
150,zaoyang,0.0,CN,1567899305.0,52.0,32.12,112.76,79.43,0.83
152,ialibu,100.0,PG,1567899305.0,94.0,-6.28,143.99,65.03,2.13
153,cidreira,86.0,BR,1567899297.0,87.0,-30.17,-50.22,65.75,11.61
154,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
155,seredka,70.0,RU,1567899305.0,90.0,58.06,38.14,50.45,2.84
156,upernavik,99.0,GL,1567899305.0,78.0,72.79,-56.15,41.09,14.36
157,nantucket,1.0,US,1567899094.0,82.0,41.28,-70.1,64.99,11.41
158,lamu,75.0,KE,1567899306.0,78.0,-2.27,40.9,78.8,3.36
159,salinopolis,84.0,BR,1567899306.0,76.0,-0.61,-47.36,81.23,15.61
160,zhuzhou,0.0,CN,1567899306.0,74.0,27.84,113.15,78.8,2.24
161,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
162,luderitz,0.0,NA,1567899306.0,100.0,-26.65,15.16,51.8,8.05
163,saskylakh,100.0,RU,1567899306.0,92.0,71.97,114.09,48.47,16.04
164,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
165,barrow,1.0,US,1567899291.0,65.0,39.51,-90.4,77.0,4.43
166,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
167,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
170,yumen,93.0,CN,1567899307.0,27.0,40.29,97.04,67.55,18.45
171,kawalu,92.0,ID,1567899307.0,91.0,-7.38,108.21,68.27,4.21
172,tuktoyaktuk,20.0,CA,1567899288.0,52.0,69.44,-133.03,66.2,12.75
174,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
175,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
177,adrar,0.0,DZ,1567899308.0,32.0,27.87,-0.29,82.4,8.05
178,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
179,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
180,makakilo city,20.0,US,1567899308.0,51.0,21.35,-158.09,91.4,17.22
181,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
182,mason city,90.0,US,1567899227.0,82.0,43.15,-93.2,66.2,4.7
183,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
184,elk point,75.0,CA,1567899221.0,56.0,53.9,-110.9,69.8,5.82
185,narsaq,57.0,GL,1567899309.0,49.0,60.91,-46.05,48.2,8.05
186,upernavik,99.0,GL,1567899305.0,78.0,72.79,-56.15,41.09,14.36
187,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
188,avarua,100.0,CK,1567899254.0,78.0,-21.21,-159.78,78.8,10.29
190,hamilton,40.0,BM,1567899309.0,74.0,32.3,-64.78,82.99,9.17
192,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
193,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
194,provideniya,100.0,RU,1567899309.0,90.0,64.42,-173.23,46.85,8.05
195,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
196,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
197,srednekolymsk,0.0,RU,1567899310.0,52.0,67.46,153.71,45.23,5.46
198,upernavik,99.0,GL,1567899305.0,78.0,72.79,-56.15,41.09,14.36
199,nanortalik,34.0,GL,1567899310.0,74.0,60.14,-45.24,42.35,26.55
200,butaritari,33.0,KI,1567899310.0,60.0,3.07,172.79,84.47,3.13
201,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
202,geraldton,0.0,AU,1567899310.0,93.0,-28.77,114.6,44.6,6.93
204,arraial do cabo,41.0,BR,1567899296.0,81.0,-22.97,-42.02,68.63,25.66
205,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
206,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
207,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
208,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
209,tamiahua,0.0,MX,1567899311.0,74.0,21.28,-97.45,84.29,10.07
210,saint-francois,6.0,GP,1567899228.0,78.0,16.25,-61.27,82.4,8.05
212,bredasdorp,0.0,ZA,1567899299.0,62.0,-34.53,20.04,73.99,3.36
213,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
214,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
215,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
217,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
219,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
220,altamont,1.0,US,1567899312.0,62.0,37.19,-95.3,91.4,5.82
222,bethel,75.0,US,1567899312.0,67.0,60.79,-161.76,59.0,18.34
223,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
224,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
225,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
226,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
228,tromso,0.0,NO,1567899313.0,93.0,69.65,18.96,37.4,9.17
229,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
230,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
231,eureka,90.0,US,1567899301.0,72.0,40.8,-124.16,68.0,8.05
233,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
234,felipe carrillo puerto,82.0,MX,1567899313.0,73.0,19.58,-88.05,81.41,2.17
235,meulaboh,64.0,ID,1567899313.0,82.0,4.14,96.13,81.05,6.78
237,bambous virieux,40.0,MU,1567899292.0,78.0,-20.34,57.76,73.4,13.87
238,ketchikan,20.0,US,1567899174.0,63.0,55.34,-131.65,66.2,11.41
240,ozark,1.0,US,1567899314.0,62.0,37.02,-93.21,88.0,8.05
241,ciudad bolivar,82.0,VE,1567899314.0,75.0,8.12,-63.55,81.41,3.42
242,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
243,byron bay,0.0,AU,1567899314.0,29.0,-28.65,153.62,66.0,16.11
244,tobol,91.0,KZ,1567899314.0,96.0,52.68,62.58,49.19,10.54
245,ahipara,0.0,NZ,1567899315.0,96.0,-35.17,173.16,69.01,20.67
246,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
247,tahoua,91.0,NE,1567899315.0,63.0,14.89,5.26,80.69,5.06
248,presidente medici,84.0,BR,1567899315.0,65.0,-11.18,-61.9,80.69,4.88
249,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
250,carnarvon,0.0,AU,1567899293.0,67.0,-24.87,113.63,57.2,8.05
251,palu,37.0,ID,1567899315.0,85.0,-0.9,119.87,79.61,1.63
252,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
253,mount gambier,90.0,AU,1567899315.0,100.0,-37.83,140.78,50.0,18.34
254,castro,0.0,CL,1567899316.0,93.0,-42.48,-73.76,44.6,5.82
255,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
256,khatanga,90.0,RU,1567899316.0,92.0,71.98,102.47,52.07,16.84
257,saskylakh,100.0,RU,1567899306.0,92.0,71.97,114.09,48.47,16.04
258,upernavik,99.0,GL,1567899305.0,78.0,72.79,-56.15,41.09,14.36
259,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
260,muisne,75.0,EC,1567899316.0,83.0,0.61,-80.02,77.0,11.41
261,gazli,42.0,UZ,1567899189.0,27.0,40.13,63.45,63.95,15.75
262,ushuaia,40.0,AR,1567899290.0,64.0,-54.81,-68.31,39.2,4.7
263,westport,24.0,IE,1567899316.0,84.0,53.8,-9.52,59.0,8.55
264,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
265,port blair,100.0,IN,1567899180.0,82.0,11.67,92.75,82.13,17.67
266,durban,0.0,ZA,1567899317.0,76.0,-29.86,31.03,59.0,11.41
267,vestmanna,84.0,FO,1567899317.0,93.0,62.16,-7.17,51.8,13.87
268,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
269,kapaa,20.0,US,1567899011.0,59.0,22.08,-159.32,89.6,17.22
270,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
271,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
272,hasaki,20.0,JP,1567899317.0,79.0,35.73,140.83,84.2,6.93
273,mahebourg,40.0,MU,1567899317.0,78.0,-20.41,57.7,73.4,13.87
274,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
275,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
276,puerto ayora,0.0,EC,1567899294.0,53.0,-0.74,-90.35,75.2,20.8
277,southbridge,90.0,US,1567899318.0,63.0,42.08,-72.03,66.99,6.93
278,butaritari,33.0,KI,1567899310.0,60.0,3.07,172.79,84.47,3.13
279,artvin,75.0,TR,1567899318.0,88.0,41.18,41.83,66.2,9.17
281,colac,94.0,AU,1567899318.0,98.0,-38.34,143.59,52.0,3.0
282,nikolskoye,92.0,RU,1567899286.0,87.0,59.7,30.79,48.99,3.22
283,carutapera,100.0,BR,1567899319.0,87.0,-1.2,-46.02,76.73,5.37
284,vardo,24.0,NO,1567899319.0,67.0,70.37,31.11,44.69,7.76
285,geraldton,0.0,AU,1567899310.0,93.0,-28.77,114.6,44.6,6.93
286,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
287,port-gentil,40.0,GA,1567899319.0,88.0,-0.72,8.78,77.0,9.17
288,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
289,te anau,90.0,NZ,1567899319.0,77.0,-45.41,167.72,37.13,6.49
290,halifax,90.0,CA,1567899320.0,100.0,44.65,-63.58,62.01,32.21
291,marawi,0.0,SD,1567899320.0,18.0,18.48,31.82,94.01,13.42
292,koroni,0.0,GR,1567899320.0,88.0,36.8,21.96,73.0,3.36
293,awjilah,0.0,LY,1567899320.0,68.0,29.14,21.3,74.93,8.9
294,albany,90.0,AU,1567899297.0,93.0,-35.02,117.88,48.2,2.24
295,yellowknife,75.0,CA,1567899304.0,58.0,62.45,-114.38,55.4,3.31
296,puerto baquerizo moreno,40.0,EC,1567899320.0,78.0,-0.9,-89.6,71.6,14.99
297,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
298,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
299,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
302,birecik,0.0,TR,1567899321.0,38.0,37.03,37.98,77.0,8.05
303,hermanus,0.0,ZA,1567899291.0,39.0,-34.42,19.24,73.99,5.01
304,provideniya,100.0,RU,1567899309.0,90.0,64.42,-173.23,46.85,8.05
305,ribeira grande,33.0,PT,1567899321.0,72.0,38.52,-28.7,68.63,14.5
306,flin flon,90.0,CA,1567899321.0,51.0,54.77,-101.88,59.0,5.82
307,lavrentiya,100.0,RU,1567899321.0,97.0,65.58,-170.99,46.13,8.5
308,los llanos de aridane,40.0,ES,1567899322.0,60.0,28.66,-17.92,73.4,6.93
309,vestmanna,84.0,FO,1567899317.0,93.0,62.16,-7.17,51.8,13.87
310,ulladulla,0.0,AU,1567899322.0,35.0,-35.36,150.48,55.99,19.46
311,mahebourg,40.0,MU,1567899317.0,78.0,-20.41,57.7,73.4,13.87
312,zhigansk,33.0,RU,1567899322.0,70.0,66.77,123.37,42.71,5.44
313,cherskiy,100.0,RU,1567899322.0,79.0,68.75,161.3,40.73,13.8
314,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
315,adrar,0.0,DZ,1567899308.0,32.0,27.87,-0.29,82.4,8.05
316,ugoofaaru,49.0,MV,1567899323.0,79.0,5.67,73.0,82.85,10.22
317,cape town,0.0,ZA,1567899044.0,49.0,-33.93,18.42,69.01,10.29
318,bredasdorp,0.0,ZA,1567899299.0,62.0,-34.53,20.04,73.99,3.36
320,pacific grove,75.0,US,1567899138.0,53.0,36.62,-121.92,75.0,18.34
321,severo-kurilsk,100.0,RU,1567899289.0,92.0,50.68,156.12,52.07,24.65
323,sao filipe,17.0,CV,1567899323.0,82.0,14.9,-24.5,81.05,6.67
324,ambanja,62.0,MG,1567899323.0,81.0,-13.68,48.45,76.55,11.39
325,chuy,100.0,UY,1567899324.0,98.0,-33.69,-53.46,60.17,5.57
327,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
328,baruun-urt,48.0,MN,1567899324.0,63.0,46.68,113.28,51.35,8.32
329,kavaratti,100.0,IN,1567899324.0,80.0,10.57,72.64,82.85,19.84
330,salalah,90.0,OM,1567899324.0,94.0,17.01,54.1,78.8,3.36
331,vaini,24.0,TO,1567899305.0,65.0,-21.2,-175.2,69.71,14.74
332,abu dhabi,0.0,AE,1567899325.0,75.0,24.47,54.37,93.2,9.17
333,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
334,hilo,90.0,US,1567899295.0,78.0,19.71,-155.08,82.99,8.05
335,mackay,40.0,AU,1567899325.0,30.0,-21.15,149.2,79.0,9.17
336,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
337,jalu,0.0,LY,1567899325.0,64.0,29.03,21.55,76.19,9.22
338,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
339,busselton,4.0,AU,1567899292.0,82.0,-33.64,115.35,46.99,12.64
340,ilulissat,19.0,GL,1567899325.0,74.0,69.22,-51.1,37.4,7.0
341,micheweni,15.0,TZ,1567899325.0,76.0,-4.97,39.83,77.63,20.13
342,bethel,75.0,US,1567899312.0,67.0,60.79,-161.76,59.0,18.34
344,sola,99.0,VU,1567899326.0,71.0,-13.88,167.55,76.55,16.24
346,castro,0.0,CL,1567899316.0,93.0,-42.48,-73.76,44.6,5.82
347,atuona,0.0,PF,1567899295.0,74.0,-9.8,-139.03,78.71,13.27
349,upernavik,99.0,GL,1567899305.0,78.0,72.79,-56.15,41.09,14.36
350,qaanaaq,13.0,GL,1567899311.0,49.0,77.48,-69.36,24.53,6.42
352,avarua,100.0,CK,1567899254.0,78.0,-21.21,-159.78,78.8,10.29
353,bluff,89.0,NZ,1567899297.0,85.0,-46.6,168.33,41.0,1.99
354,narsaq,57.0,GL,1567899309.0,49.0,60.91,-46.05,48.2,8.05
355,hobart,75.0,AU,1567899307.0,81.0,-42.88,147.33,48.99,8.05
356,butaritari,33.0,KI,1567899310.0,60.0,3.07,172.79,84.47,3.13
357,nalut,34.0,LY,1567899327.0,76.0,31.86,10.98,68.27,18.84
358,rikitea,28.0,PF,1567899287.0,63.0,-23.12,-134.97,66.47,23.17
359,vaasa,75.0,FI,1567899327.0,100.0,63.1,21.62,53.01,6.93
360,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
361,port alfred,0.0,ZA,1567899297.0,89.0,-33.59,26.89,55.99,10.29
362,shakawe,0.0,BW,1567899327.0,40.0,-18.36,21.84,61.79,9.15
363,saint-paul-les-dax,52.0,FR,1567899327.0,93.0,43.73,-1.05,62.01,14.07
364,carnarvon,0.0,AU,1567899293.0,67.0,-24.87,113.63,57.2,8.05
365,salalah,90.0,OM,1567899324.0,94.0,17.01,54.1,78.8,3.36
366,sitka,64.0,US,1567899328.0,36.0,37.17,-99.65,93.99,5.99
367,tuktoyaktuk,20.0,CA,1567899288.0,52.0,69.44,-133.03,66.2,12.75
368,mahebourg,40.0,MU,1567899317.0,78.0,-20.41,57.7,73.4,13.87
369,jamestown,81.0,SH,1567899307.0,77.0,-15.94,-5.72,66.83,14.58
370,punta arenas,75.0,CL,1567899286.0,78.0,-53.16,-70.91,39.2,6.93
371,luganville,75.0,VU,1567899328.0,57.0,-15.51,167.18,80.6,6.93
372,nusaybin,0.0,TR,1567899328.0,26.0,37.08,41.21,74.75,5.77
